Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Area µm^2	Perimeter µm
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10116.7	696.04	27.46	18.98
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8940.9	1792.7	169.74	46.77
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9053.8	2695	37.9	22.54
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8833.3	2174.2	50.75	25.59
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8708.6	1531.2	64.82	28.93
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9908.6	2221.9	50.82	26
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9679.5	949.48	72.14	32.82
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9965.2	790.87	135.97	41.92
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9215.1	1562.7	20.18	17.23
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9344.2	559.56	36.95	22.32
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10321.5	2142.4	46.8	25.57
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9799.1	1930.7	27.17	18.8
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10411.1	1952.7	66.54	29.67
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9767.7	792.7	25.51	19.3
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10495.2	769.59	49.23	25.51
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9041.9	1926.9	24.37	23.31
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9528.8	2291.4	57.97	28.49
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9536.7	1162.1	57.4	27.52
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9309.7	1635.9	31.84	20.71
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9803.3	2284.6	113.23	38.16
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9870.6	2008.1	20.81	17.41
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9201.2	838.03	76.39	31.33
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9482.9	1800	49.88	29.83
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9297.6	2718.7	29.1	21.16
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	8961.7	1784.4	26.85	20.43
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9302.1	2635.4	33.41	21.51
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9786.9	1216.6	24.12	19.32
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10502.3	740.77	18.4	15.75
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10107.7	1292.7	45.56	24.92
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	9139.6	1894.6	68.21	29.66
SLD_0000404.vsi - 20x_02	PathAnnotationObject		Image	Polygon	10495.7	1714.6	15.32	14.7
