Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Area µm^2	Length µm	Circularity	Solidity	Max diameter µm	Min diameter µm	Hematoxylin: Mean	Hematoxylin: Median	Hematoxylin: Min	Hematoxylin: Max	Hematoxylin: Std.Dev.	DAB: Mean	DAB: Median	DAB: Min	DAB: Max	DAB: Std.Dev.
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7325.3	1459.9	0.9422	135.6286	42.0016	0.9661	1	14.3449	11.7253	0.3749	0.3936	0.141	0.536	0.0865	-0.0445	-0.0529	-0.0943	0.0349	0.0296
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7701.8	1936.2	0.9405	75.0991	31.1338	0.9736	1	10.6436	9.2124	0.3853	0.4057	0.1184	0.5994	0.1047	-0.0385	-0.0447	-0.0946	0.0542	0.0327
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7317.1	1410.6	0.9385	133.3558	41.5847	0.9691	1	14.0779	11.8314	0.4251	0.4336	0.1654	0.6541	0.0901	-0.0606	-0.067	-0.1024	0.0111	0.0232
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7404.1	2439.5	0.9373	75.3433	31.1946	0.973	1	10.6023	9.4138	0.386	0.4181	0.1735	0.5299	0.0829	-0.0446	-0.0511	-0.0852	0.0415	0.0278
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	6844.1	1261.4	0.9371	123.2219	40.55	0.9417	0.9951	14.4251	10.8906	0.5098	0.5359	0.089	0.9011	0.1511	-0.058	-0.0666	-0.1183	0.0489	0.0377
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7075.1	2640.4	0.9367	82.8871	32.7582	0.9706	1	11.4335	9.3294	0.5066	0.5092	0.1337	0.8855	0.1625	-0.0575	-0.0638	-0.1305	0.04	0.0404
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	6798	1306.9	0.9349	113.4528	38.5022	0.9617	1	13.4791	10.4644	0.516	0.5456	0.103	0.8312	0.148	-0.0677	-0.0777	-0.1451	0.0303	0.0357
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7141	2370.8	0.9349	77.2971	32.2093	0.9363	0.9977	11.5178	8.1906	0.413	0.4342	0.1098	0.6853	0.1096	-0.0479	-0.0542	-0.1085	0.0417	0.032
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	7429.4	2345	0.934	53.7788	26.8461	0.9377	0.9882	9.3394	7.635	0.4492	0.4692	0.1148	0.6653	0.1274	-0.0496	-0.052	-0.1127	0.0388	0.0353
SLD_0000404.vsi - 20x_03	PathDetectionObject		S1	Polygon	8087.3	1420	0.9315	130.6187	41.1672	0.9685	1	14.0907	11.9648	0.5354	0.564	0.1003	0.7278	0.1284	-0.0609	-0.0695	-0.1114	0.0329	0.0311
