Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Area µm^2	Length µm	Circularity	Solidity	Max diameter µm	Min diameter µm	Hematoxylin: Mean	Hematoxylin: Median	Hematoxylin: Min	Hematoxylin: Max	Hematoxylin: Std.Dev.	DAB: Mean	DAB: Median	DAB: Min	DAB: Max	DAB: Std.Dev.
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10994.1	1579.9	0.9553	204.0999	51.3083	0.9743	1	17.1725	14.9909	0.4352	0.4596	0.0985	0.6285	0.1088	-0.0564	-0.065	-0.1214	0.0345	0.0307
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10338.3	1086.9	0.9483	141.9265	42.9522	0.9667	1	14.5433	12.3504	0.3894	0.3993	0.0851	0.7853	0.1471	-0.0271	-0.0311	-0.0993	0.0558	0.0345
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10910	1918.6	0.9421	78.139	31.9661	0.9609	1	11.1813	9.0869	0.3618	0.4018	0.1157	0.5214	0.1028	-0.0338	-0.0439	-0.0819	0.0481	0.0311
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10814.4	1857.8	0.9394	106.109	36.9105	0.9787	1	12.5274	10.9793	0.3775	0.4081	0.0821	0.5759	0.1284	-0.0219	-0.0319	-0.077	0.0661	0.035
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10864.3	860.66	0.9386	150.2629	44.0608	0.9727	0.9991	14.8056	12.6439	0.3957	0.4206	0.1099	0.6633	0.1043	-0.047	-0.0589	-0.1084	0.0572	0.0359
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10849.2	615.15	0.9385	114.4044	39.0557	0.9425	1	14.1209	10.0194	0.3267	0.3472	0.1253	0.4544	0.075	-0.0298	-0.0362	-0.0753	0.0395	0.0276
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	11117.8	1960.6	0.9357	100.1577	36.4511	0.9473	0.9983	12.8131	9.5807	0.406	0.4432	0.1163	0.568	0.1144	-0.0373	-0.0475	-0.0938	0.0465	0.0351
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10940.7	1748.4	0.9317	156.7128	45.3896	0.9559	0.997	16.0485	12.611	0.4356	0.4359	0.1551	0.6491	0.0858	-0.0547	-0.0595	-0.0925	0.0525	0.023
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10684.2	1171.5	0.9295	64.7173	29.0558	0.9633	0.9949	9.6222	8.7646	0.3611	0.366	0.0947	0.6429	0.1298	-0.0321	-0.0338	-0.0936	0.0443	0.0346
SLD_0000404.vsi - 20x_01	PathDetectionObject		S1	Polygon	10467.9	1703.7	0.9291	92.577	34.7808	0.9617	0.9984	11.967	10.0176	0.3359	0.3627	0.1166	0.5223	0.0945	-0.0291	-0.037	-0.0803	0.0336	0.0298
